Format Version,1.23,Take Name,cart_random_sync,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-22 12.22.57.287 PM,Total Frames in Take,2488,Total Exported Frames,2488,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,mecanum:org,mecanum:org,mecanum:org,mecanum:xdir,mecanum:xdir,mecanum:xdir,mecanum:zdir,mecanum:zdir,mecanum:zdir
,ID,"8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
182,1.820000,0.186480,0.066548,0.243849,0.227572,0.065003,0.251834,0.169552,0.066382,0.345254
183,1.830000,0.186407,0.066478,0.243783,0.227561,0.065020,0.251844,0.169568,0.066375,0.345265
184,1.840000,0.186460,0.066560,0.243849,0.227560,0.065011,0.251845,0.169551,0.066366,0.345255
185,1.850000,0.186399,0.066465,0.243767,0.227571,0.064994,0.251840,0.169548,0.066374,0.345255
186,1.860000,0.186464,0.066561,0.243858,0.227564,0.065013,0.251846,0.169556,0.066393,0.345244
187,1.870000,0.186398,0.066474,0.243765,0.227566,0.065013,0.251839,0.169548,0.066392,0.345256
188,1.880000,0.186462,0.066547,0.243842,0.227563,0.065020,0.251842,0.169547,0.066383,0.345242
189,1.890000,0.186465,0.066575,0.243860,0.227565,0.065024,0.251816,0.169547,0.066385,0.345248
190,1.900000,0.186462,0.066555,0.243846,0.227567,0.065020,0.251841,0.169560,0.066391,0.345248
191,1.910000,0.186463,0.066559,0.243834,0.227560,0.065013,0.251839,0.169560,0.066395,0.345250
192,1.920000,0.186464,0.066576,0.243851,0.227559,0.065020,0.251841,0.169544,0.066380,0.345248
