sys_time,e_fr,e_fl,e_rr,e_rl,rtc,mils,sync
2022-06-23 09:53:18.065864,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84345,0
2022-06-23 09:53:18.066363,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84355,0
2022-06-23 09:53:18.066864,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84365,0
2022-06-23 09:53:18.067863,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84375,0
2022-06-23 09:53:18.068365,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84385,0
2022-06-23 09:53:18.135361,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84395,0
2022-06-23 09:53:18.135861,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84405,0
2022-06-23 09:53:18.136360,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84415,0
2022-06-23 09:53:18.136862,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84425,0
2022-06-23 09:53:18.137865,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84435,0
2022-06-23 09:53:18.138861,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84445,0
2022-06-23 09:53:18.139862,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84455,0
2022-06-23 09:53:18.204862,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84465,0
2022-06-23 09:53:18.205361,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84475,0
2022-06-23 09:53:18.205860,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84485,0
2022-06-23 09:53:18.206362,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84495,0
2022-06-23 09:53:18.206362,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84505,0
2022-06-23 09:53:18.206860,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84515,0
2022-06-23 09:53:18.273361,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84525,0
2022-06-23 09:53:18.274360,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84535,0
2022-06-23 09:53:18.274360,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84545,0
2022-06-23 09:53:18.274862,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84555,0
2022-06-23 09:53:18.275361,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84565,0
2022-06-23 09:53:18.275860,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84575,0
2022-06-23 09:53:18.276360,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84585,0
2022-06-23 09:53:18.354860,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84595,0
2022-06-23 09:53:18.355862,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84605,0
2022-06-23 09:53:18.356360,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84615,0
2022-06-23 09:53:18.356863,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84625,0
2022-06-23 09:53:18.357360,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84635,0
2022-06-23 09:53:18.357862,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84645,0
2022-06-23 09:53:18.358866,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84655,0
2022-06-23 09:53:18.413360,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84665,0
2022-06-23 09:53:18.413859,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84675,0
2022-06-23 09:53:18.414361,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84685,0
2022-06-23 09:53:18.414860,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84695,0
2022-06-23 09:53:18.415361,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84705,0
